threshold,normalized_precision
0.0,0.00019638648860958367
0.005,0.00108012568735271
0.01,0.0026512175962293792
0.015,0.006186174391201885
0.02,0.010801256873527102
0.025,0.01816575019638649
0.03,0.026413982717989
0.035,0.03642969363707777
0.04,0.04644540455616654
0.045,0.05950510604870385
0.05,0.07325216025137471
0.055,0.08758837391987431
0.06,0.10496857816182247
0.065,0.12136684996072271
0.07,0.13805970149253732
0.075,0.15494893951296151
0.08,0.17360565593087196
0.085,0.19638648860958366
0.09,0.21779261586802828
0.095,0.23968970934799685
0.1,0.26188138256087984
0.105,0.2844658287509819
0.11,0.3062647289866457
0.115,0.3247250589159466
0.12,0.34789866457187746
0.125,0.3688138256087981
0.13,0.3905145326001571
0.135,0.41054595443833464
0.14,0.42949725058915944
0.145,0.4498232521602514
0.15,0.46897093479968577
0.155,0.4879222309505106
0.16,0.50942655145326
0.165,0.5293597800471328
0.17,0.5510604870384918
0.17500000000000002,0.5713864886095836
0.18,0.5900432050274941
0.185,0.6092890809112333
0.19,0.627847604084839
0.195,0.6474862529457973
0.2,0.6640809112333071
0.20500000000000002,0.678318931657502
0.21,0.6959937156323645
0.215,0.7109190887666929
0.22,0.7237824037706205
0.225,0.7360565593087196
0.23,0.7467596229379418
0.23500000000000001,0.7562843676355067
0.24,0.7673802042419482
0.245,0.7776904948939513
0.25,0.7860369206598586
0.255,0.7941869599371564
0.26,0.803318931657502
0.265,0.8112725844461901
0.27,0.8191280439905735
0.275,0.826885310290652
0.28,0.8336606441476826
0.28500000000000003,0.8422034564021995
0.29,0.8478004713275726
0.295,0.8542812254516889
0.3,0.8595836606441477
0.305,0.8643951296150825
0.31,0.867439120188531
0.315,0.871661429693637
0.32,0.8751963864886095
0.325,0.8775530243519246
0.33,0.8804006284367636
0.335,0.88442655145326
0.34,0.8874705420267086
0.34500000000000003,0.8900235663786331
0.35000000000000003,0.8928711704634721
0.355,0.8953260015710919
0.36,0.8968970934799686
0.365,0.8986645718774549
0.37,0.9006284367635506
0.375,0.9021013354281225
0.38,0.9040652003142183
0.385,0.9054399057344855
0.39,0.9070109976433621
0.395,0.9082875098193244
0.4,0.9095640219952867
0.405,0.910840534171249
0.41000000000000003,0.9118224666142969
0.41500000000000004,0.9130007855459544
0.42,0.9142772977219167
0.425,0.9148664571877455
0.43,0.9161429693637078
0.435,0.917910447761194
0.44,0.9183032207384132
0.445,0.9194815396700707
0.45,0.9199725058915946
0.455,0.9206598586017282
0.46,0.921249018067557
0.465,0.9219363707776905
0.47000000000000003,0.9224273369992144
0.47500000000000003,0.9230164964650432
0.48,0.9235074626865671
0.485,0.924096622152396
0.49,0.9245875883739199
0.495,0.9247839748625295
0.5,0.9248821681068342
