sequence,frames,auc,pr20,norm_precision_020,mean_iou,mean_center_error,failure_rate_iou_010,variant
star_mul222,2036,0.45699196638720835,0.6797642436149313,0.46414538310412573,0.4551320758091246,38.649027810855564,0.30206286836935164,baseline
star_motion,2122,0.5974981569787516,0.9792648444863337,0.6065032987747409,0.5983434112446967,8.109228691920494,0.020263901979264844,baseline
bike_low,1290,0.60364571340855,0.9891472868217054,0.6255813953488372,0.6046097666765006,13.174360107781121,0.0,baseline
box_hdr,1948,0.6666853030272227,0.9568788501026694,0.8213552361396304,0.6682445787315818,8.313298163957555,0.003593429158110883,baseline
dog_motion,2788,0.6902069690469765,0.9878048780487805,0.7618364418938307,0.6920247865038027,7.606138237779798,0.0010760401721664275,baseline
star_motion,2122,0.19033043737927047,0.3468426013195099,0.1583411875589067,0.1843311435217731,77.28856207360113,0.6145146088595664,zero
star_mul222,2036,0.43278414285436395,0.7028487229862476,0.37721021611001965,0.4309319440710688,35.37674573467249,0.24607072691552062,zero
bike_low,1290,0.6221352367794918,0.986046511627907,0.5953488372093023,0.6235712236398939,12.802786545211198,0.0,zero
dog_motion,2788,0.6304814125601943,0.9099713055954088,0.6983500717360115,0.6314553327017065,16.63550490082393,0.06384505021520803,zero
box_hdr,1948,0.6697348893000185,0.9645790554414785,0.87217659137577,0.6714879345637488,7.278184326262063,0.003593429158110883,zero
star_mul222,2036,0.44080802972242206,0.668467583497053,0.4130648330058939,0.43884079280601734,40.30886617990566,0.30402750491159136,weak
bike_low,1290,0.6037915419448919,0.993798449612403,0.6170542635658914,0.6048103722537775,13.05168431552717,0.0,weak
star_motion,2122,0.609354149364041,0.9731385485391141,0.6352497643732328,0.6103595314048142,8.927435480954347,0.024505183788878417,weak
dog_motion,2788,0.6930479992045115,0.9903156384505022,0.7819225251076041,0.6948862600055445,7.395269509825799,0.0007173601147776184,weak
box_hdr,1948,0.6968202980462317,0.9697125256673511,0.8839835728952772,0.698856142957356,7.432846647235832,0.004106776180698152,weak
star_mul222,2036,0.45699196638720835,0.6797642436149313,0.46414538310412573,0.4551320758091246,38.649027810855564,0.30206286836935164,fixed1
star_motion,2122,0.5974981569787516,0.9792648444863337,0.6065032987747409,0.5983434112446967,8.109228691920494,0.020263901979264844,fixed1
bike_low,1290,0.60364571340855,0.9891472868217054,0.6255813953488372,0.6046097666765006,13.174360107781121,0.0,fixed1
box_hdr,1948,0.6666853030272227,0.9568788501026694,0.8213552361396304,0.6682445787315818,8.313298163957555,0.003593429158110883,fixed1
dog_motion,2788,0.6902069690469765,0.9878048780487805,0.7618364418938307,0.6920247865038027,7.606138237779798,0.0010760401721664275,fixed1
star_mul222,2036,0.4758505320080141,0.7048133595284872,0.4950884086444008,0.4741895861896203,37.82257432608838,0.2824165029469548,strong
star_motion,2122,0.580467707468202,0.9839773798303487,0.5532516493873704,0.5811947034368824,7.184874096398355,0.016965127238454288,strong
bike_low,1290,0.5948422749251667,0.9744186046511628,0.5883720930232558,0.5956321518837081,13.405562808471753,0.0,strong
box_hdr,1948,0.6552442718604511,0.9440451745379876,0.7802874743326489,0.6567262875792962,8.768016200458975,0.003593429158110883,strong
dog_motion,2788,0.6900365072375243,0.9899569583931134,0.7690100430416069,0.6919465848458718,7.694534989803902,0.0014347202295552368,strong
star_mul222,2036,0.46194732439845154,0.6895874263261297,0.47445972495088407,0.4601239711943123,39.86413636297971,0.29420432220039294,adaptive
bike_low,1290,0.5996853173689459,0.9875968992248062,0.5922480620155038,0.6006027280003813,13.300958379506314,0.0,adaptive
star_motion,2122,0.6058547419303665,0.9754948162111216,0.616870876531574,0.6068724064153629,9.056269580052087,0.0235626767200754,adaptive
box_hdr,1948,0.6621312541931812,0.9548254620123203,0.8074948665297741,0.6638062697361915,8.44510238073711,0.004620123203285421,adaptive
dog_motion,2788,0.6945075784479452,0.9874461979913917,0.7758249641319943,0.696477201012456,7.487213340970527,0.0014347202295552368,adaptive
star_mul222,2036,0.4750627322064229,0.7166011787819253,0.47593320235756387,0.4734897639842859,36.23315880297957,0.2676817288801572,adaptive_smooth
bike_low,1290,0.6007751937984495,0.9899224806201551,0.5899224806201551,0.6016972798843234,13.270724560114036,0.0,adaptive_smooth
star_motion,2122,0.602555967189556,0.9750235626767201,0.6079170593779454,0.6034402105160785,9.151345557704827,0.024976437323279924,adaptive_smooth
box_hdr,1948,0.6638186919307949,0.9625256673511293,0.8157084188911704,0.665366831967452,8.367229923767358,0.003593429158110883,adaptive_smooth
dog_motion,2788,0.6946815915450942,0.9874461979913917,0.7736728837876614,0.6966146310895994,7.481948412043384,0.0007173601147776184,adaptive_smooth
